3171;BICARBONATO DE AMONIO 1KG                          ;5.4;5.4;0;0;1006
3172;BICARBONATO DE SODIO 1KG                           ;5.45;8.175;0.5;100;1006
3173;BICARBONATO DE SODIO SC 25 KG                     ;133.55;133.55;0;0;1006
3174;BISCOITO COCO CX 3KG                      ;50.7;50.7;0;0;1006
3175;BISCOITO FUBA CX 3KG                      ;54;54;0;0;1006
3176;BISCOITO GERGELIM CX 3KG                  ;58.5;58.5;0;0;1006
3177;BISCOITO INTEGRAL DE CHIA CX 3KG          ;58.5;58.5;0;0;1006
3178;BISCOITO LEITE CX 3KG                     ;78;78;0;0;1006
3179;BISCOITO LINHACA COM ALHO CX 3KG          ;58.5;58.5;0;0;1006
3180;BISCOITO LINHACA COM TOMATE CX 3KG        ;62.4;62.4;0;0;1006
3181;BISCOITO LINHACA CX 3KG                   ;58.5;58.5;0;0;1006
3182;BISCOITO NATAL NOZ CX 3KG                 ;74.1;74.1;0;0;1006
3183;BISCOITO PALITINHOS GERGELIM 2 KG         ;72.8;72.8;0;0;1006
3184;BISCOITO PALITINHOS QUEIJO 2KG            ;72.8;72.8;0;0;1006
3185;BISCOITO PALMIER CANELA CX 2.5KG          ;56.9;56.9;0;0;1006
3186;BISCOITO PALMIER COMUM CX 2.5KG           ;56.9;56.9;0;0;1006
3187;BLUE BERRY 1KG                            ;111.5;167.25;0.5;100;1006
3188;BOLIX CITRUS CEREJA 500G                   ;6.7;6.7;0;0;1006
3189;BOLIX CITRUS IOGURTE 500G                  ;6.7;6.7;0;0;1006
3190;BOLIX CITRUS SABORES 500G                  ;6.7;6.7;0;0;1006
3191;CACAU EM PO 1KG                           ;13.05;20.88;0.6;100;1006
3192;CACAU EM PO SC 10KG                       ;127.9;127.9;0;0;1006
3193;CACAU EM PO SC 25 KG                      ;319.75;319.75;0;0;1006
3194;CANELA EM PO MISTA 1KG                    ;11.15;17.84;0.6;100;1006
3195;CANELA EM PO MISTA SC 10KG                ;109.3;109.3;0;0;1006
3196;CANELA EM PO PURA 1KG                     ;31.4;47.1;0.5;100;1006
3197;CANELA EM PO PURA SC 10KG                 ;307.7;307.7;0;0;1006
3198;CANJICA BRANCA 1KG                         ;8.3;12.45;0.5;100;1006
3199;CANJICA BRANCA SC 25 KG                   ;203.35;203.35;0;0;1006
3200;CANJIQUINHA AMARELA 1KG                    ;4.55;6.825;0.5;100;1006
3201;CANJIQUINHA AMARELA SC 25 KG              ;111.45;111.45;0;0;1006
3202;CAPSULA ACAFRAO 60G                        ;7.5;9.75;0.3;100;1006
3203;CAPSULA ALCACHOFRA 60G                     ;7.5;7.5;0;0;1006
3204;CAPSULA ALCACHOFRA C/ BERINGELA 60G        ;7.5;7.5;0;0;1006
3205;CAPSULA ALHO 60G                           ;7.5;11.25;0.5;100;1006
3206;CAPSULA AMORA +ISOFLAVONA 60G              ;7.5;11.25;0.5;100;1006
3207;CAPSULA AMORA BRANCA 60G                   ;7.5;11.25;0.5;100;1006
3208;CAPSULA BERINGELA 60G                      ;7.5;7.5;0;0;1006
3209;CAPSULA CANELA DE VELHO 60G                ;7.5;11.25;0.5;100;1006
3210;CAPSULA CANELA DE VELHO C/ SUCUPIRA 60G    ;9.1;13.65;0.5;100;1006
3211;CAPSULA CARQUEJA 60G                       ;7.5;7.5;0;0;1006
3212;CAPSULA CARVAO VEGETAL 60G                 ;7.5;10.5;0.4;100;1006
3213;CAPSULA CASCARA SAGRADA 60G                ;7.5;11.25;0.5;100;1006
3214;CAPSULA CASTANHA DA INDIA 60G              ;7.5;11.25;0.5;100;1006
3215;CAPSULA CENTELHA ASIATICA 60G              ;7.5;7.5;0;0;1006
3216;CAPSULA CHA MAIS 60G                       ;7.5;7.5;0;0;1006
3217;CAPSULA CHIA 60G                           ;7.5;11.25;0.5;100;1006
3218;CAPSULA COLAGENO 60G                       ;7.5;7.5;0;0;1006
3219;CAPSULA COMPOSTO CIRCULATORIO 60G          ;7.5;7.5;0;0;1006
3220;CAPSULA DESINCHA 60G                       ;7.5;7.5;0;0;1006
3221;CAPSULA DIABETRIL 60G                      ;7.5;7.5;0;0;1006
3222;CAPSULA ESPINHEIRA SANTA 60G               ;7.5;11.25;0.5;100;1006
3223;CAPSULA GARRA DO DIABO 60G                 ;7.5;11.25;0.5;100;1006
3224;CAPSULA GENGIBRE 60G                       ;7.5;11.25;0.5;100;1006
3225;CAPSULA GINKGO BILOBA 60G                     ;7.5;7.5;0;0;1006
3226;CAPSULA GINKGO C/ CASTANHA DA INDIA 60G       ;7.5;11.25;0.5;100;1006
3227;CAPSULA GINKGO C/ GINSENG 60G                 ;7.5;11.25;0.5;100;1006
3228;CAPSULA GINSENG 60G                           ;7.5;11.25;0.5;100;1006
3229;CAPSULA GRAVIOLA 60G                          ;7.5;11.25;0.5;100;1006
3230;CAPSULA HIBISCUS 60G                          ;7.5;11.25;0.5;100;1006
3231;CAPSULA HIPERICO 60G                          ;7.5;11.25;0.5;100;1006
3232;CAPSULA IPE ROXO 60G                          ;7.5;11.25;0.5;100;1006
3233;CAPSULA ISOFLAVONA 60G                        ;7.5;11.25;0.5;100;1006
3234;CAPSULA MACA PERUANA 60G                      ;7.5;11.25;0.5;100;1006
3235;CAPSULA MORINGA 60G                           ;7.5;11.25;0.5;100;1006
3236;CAPSULA OLIVEIRA 60G                          ;7.5;11.25;0.5;100;1006
3237;CAPSULA ORA PRO NOBIS 60G                     ;7.5;11.25;0.5;100;1006
3238;CAPSULA PROSTATIL 60G                         ;7.5;11.25;0.5;100;1006
3239;CAPSULA PSYLLIUM 60G                          ;7.5;11.25;0.5;100;1006
3240;CAPSULA QUITO MAIS 60G                        ;7.5;11.25;0.5;100;1006
3241;CAPSULA SAUDE DA MULHER 60G                   ;7.5;11.25;0.5;100;1006
3242;CAPSULA SECA BARRIGA 60G                      ;7.5;11.25;0.5;100;1006
3243;CAPSULA SENE 60G                              ;7.5;11.25;0.5;100;1006
3244;CAPSULA SPIRULINA 60G                         ;7.5;11.25;0.5;100;1006
3245;CAPSULA SUCUPIRA 60G                          ;7.5;11.25;0.5;100;1006
3246;CAPSULA TRIBULLUS C/ MACA PERUANA 60G         ;7.5;11.25;0.5;100;1006
3247;CAPSULA TRIBULUS 60G                          ;7.5;11.25;0.5;100;1006
3248;CAPSULA UNHA DE GATO 60G                      ;7.5;11.25;0.5;100;1006
3249;CAPSULA UXI AMARELO 60G                       ;7.5;11.25;0.5;100;1006
3250;CAPSULA UXI AMARELO C/ UNHA DE GATO 60G       ;7.5;11.25;0.5;100;1006
3251;CARDAMOMO EM GRAOS 1KG                       ;318.1;318.1;0;0;1006
3252;CARDAMOMO EM GRAOS 250G                      ;79.5;79.5;0;0;1006
3253;CARDAMOMO EM GRAOS 500G                      ;159.05;159.05;0;0;1006
3254;CARVAO ATIVADO 40G                            ;9.9;9.9;0;0;1006
3255;CASTANHA CAJU CARAMELO COM OVOMALTINE 1KG    ;42;42;0;0;1006
3256;CASTANHA CAJU CARAMELO COM OVOMALTINE 22KG   ;905.55;905.55;0;0;1006
3257;CASTANHA CAJU COM LEMON PEPPER 1KG           ;55;55;0;0;1006
3258;CASTANHA DE BARU 1KG                         ;66.9;66.9;0;0;1006
3259;CASTANHA DE BARU TORRADA CX 4KG              ;262.25;29.135.975;0.111;100;1006
3260;CASTANHA DE CAJU BANDA COM SAL 1KG           ;39.5;59.25;0.5;100;1006
3261;CASTANHA DE CAJU BANDA COM SAL CX 10 KG      ;387.1;387.1;0;0;1006
3262;CASTANHA DE CAJU BANDA COM SAL CX 11.34 KG   ;438.85;438.85;0;0;1006
3263;CASTANHA DE CAJU BANDA CRUA 1KG              ;43;43;0;0;1006
3264;CASTANHA DE CAJU BANDA CRUA 22KG             ;927.1;927.1;0;0;1006
3265;CASTANHA DE CAJU BANDA CRUA CX 11.34 KG      ;477.85;477.85;0;0;1006
3266;CASTANHA DE CAJU BANDA SEM SAL 1KG           ;39.5;59.25;0.5;100;1006
3267;CASTANHA DE CAJU BANDA SEM SAL CX 10 KG      ;387.1;387.1;0;0;1006
3268;CASTANHA DE CAJU BANDA SEM SAL CX 11.34 KG   ;438.95;438.95;0;0;1006
3269;CASTANHA DE CAJU CARAMELO 1KG                 ;39;39;0;0;1006
3270;CASTANHA DE CAJU CARAMELO CX 10 KG            ;382.2;382.2;0;0;1006
3271;CASTANHA DE CAJU CRUA 1KG                     ;61.7;92.55;0.5;100;1006
